personality,reward,penalty,deadline_hours,actual_progress,reported_progress,deception_gap,bugs_introduced,code_quality,honesty_score,stress_index,performance_score,auditor_score,deception_detected
AMBITIOUS,178.14,106.28,11.63,37.6,53.77,16.16,4.86,60.79,23.16,61.05,40.95,94.58,0.98
HONEST,162.05,94.1,12.1,33.87,34.23,0.36,2.69,72.82,85.1,58.33,58.36,30.18,0.13
OPPORTUNISTIC,161.98,94.58,12.42,31.58,43.1,11.52,3.15,71.06,45.08,57.81,46.8,82.4,0.77
OPTIMISTIC,188.83,114.0,10.27,32.83,43.97,11.13,3.77,66.73,40.97,65.0,45.04,80.53,0.77
RISK_AVERSE,223.14,131.57,9.49,29.8,29.2,-0.61,2.43,74.78,85.41,67.65,57.2,40.41,0.33
