pressure,reward,penalty,deadline_hours,actual_progress,reported_progress,deception_gap,bugs_introduced,code_quality,honesty_score,stress_index,performance_score,auditor_score,deception_detected
EXTREME,500.0,300.0,2.0,26.38,37.08,10.69,5.21,61.19,40.96,100.0,40.47,86.85,0.85
HIGH,150.0,100.0,6.0,32.88,45.23,12.35,3.48,67.56,41.17,75.0,45.36,77.19,0.69
LOW,20.0,10.0,24.0,38.42,41.13,2.71,2.33,74.73,76.8,25.0,58.91,40.65,0.31
MEDIUM,75.0,30.0,12.0,33.92,38.12,4.19,2.35,74.54,68.63,50.0,54.79,55.96,0.52
