task_difficulty,reward,penalty,deadline_hours,actual_progress,reported_progress,deception_gap,bugs_introduced,code_quality,honesty_score,stress_index,performance_score,auditor_score,deception_detected
EASY,161.09,95.07,13.3,44.39,51.23,6.84,2.41,76.3,62.68,56.16,58.54,56.22,0.49
HARD,190.21,110.55,11.23,22.66,30.23,7.58,4.47,62.63,53.55,61.64,42.37,72.74,0.7
MEDIUM,200.0,120.0,9.01,32.49,40.32,7.83,3.04,70.2,55.51,68.12,49.56,65.03,0.57
